SED_NAME16	Age5yr	ChildrenEverBorn	females
Baulkham Hills	55-59	3	550
Baulkham Hills	55-59	4	150
Baulkham Hills	55-59	5	51
Baulkham Hills	55-59	6	12
Baulkham Hills	60-64		77
Baulkham Hills	60-64	0	198
Baulkham Hills	60-64	1	423
Baulkham Hills	60-64	2	983
Baulkham Hills	60-64	3	497
Baulkham Hills	60-64	4	181
Baulkham Hills	60-64	5	35
Baulkham Hills	60-64	6	13
Baulkham Hills	65-69		66
Baulkham Hills	65-69	0	162
Baulkham Hills	65-69	1	266
Baulkham Hills	65-69	2	942
Baulkham Hills	65-69	3	545
Baulkham Hills	65-69	4	158
Baulkham Hills	65-69	5	37
Baulkham Hills	65-69	6	26
Baulkham Hills	70-74		68
Baulkham Hills	70-74	0	102
Baulkham Hills	70-74	1	139
Baulkham Hills	70-74	2	695
Baulkham Hills	70-74	3	426
Baulkham Hills	70-74	4	146
Baulkham Hills	70-74	5	30
Baulkham Hills	70-74	6	16
Baulkham Hills	75-79		64
Baulkham Hills	75-79	0	60
Baulkham Hills	75-79	1	83
Baulkham Hills	75-79	2	343
Baulkham Hills	75-79	3	297
Baulkham Hills	75-79	4	127
Baulkham Hills	75-79	5	42
Baulkham Hills	75-79	6	26
Baulkham Hills	80-84		58
Baulkham Hills	80-84	0	42
Baulkham Hills	80-84	1	41
Baulkham Hills	80-84	2	184
Baulkham Hills	80-84	3	134
Baulkham Hills	80-84	4	74
Baulkham Hills	80-84	5	23
Baulkham Hills	80-84	6	27
Baulkham Hills	85+		125
Baulkham Hills	85+	0	45
Baulkham Hills	85+	1	70
Baulkham Hills	85+	2	149
Baulkham Hills	85+	3	114
Baulkham Hills	85+	4	75
Baulkham Hills	85+	5	30
Baulkham Hills	85+	6	50
Bega	15-19		275
Bega	15-19	0	1451
Bega	15-19	1	30
Bega	15-19	2	3
Bega	15-19	3	3
Bega	15-19	6	3
Bega	20-24		117
Bega	20-24	0	805
Bega	20-24	1	163
Bega	20-24	2	72
Bega	20-24	3	20
Bega	25-29		96
Bega	25-29	0	545
Bega	25-29	1	225
Bega	25-29	2	201
Bega	25-29	3	78
Bega	25-29	4	31
Bega	25-29	5	8
Bega	25-29	6	3
Bega	30-34		112
Bega	30-34	0	314
Bega	30-34	1	267
Bega	30-34	2	399
Bega	30-34	3	192
Bega	30-34	4	68
Bega	30-34	5	25
Bega	30-34	6	9
Bega	35-39		109
Bega	35-39	0	235
Bega	35-39	1	205
Bega	35-39	2	516
Bega	35-39	3	289
Bega	35-39	4	118
Bega	35-39	5	50
Bega	35-39	6	26
Bega	40-44		138
Bega	40-44	0	232
Bega	40-44	1	231
Bega	40-44	2	668
Bega	40-44	3	373
Bega	40-44	4	154
Bega	40-44	5	50
Bega	40-44	6	45
Bega	45-49		150
Bega	45-49	0	322
Bega	45-49	1	263
Bega	45-49	2	758
Bega	45-49	3	429
Bega	45-49	4	182
Bega	45-49	5	58
Bega	45-49	6	39
Bega	50-54		201
Bega	50-54	0	408
Bega	50-54	1	320
Bega	50-54	2	861
Bega	50-54	3	517
Bega	50-54	4	213
Bega	50-54	5	67
Bega	50-54	6	34
Bega	55-59		230
Bega	55-59	0	493
Bega	55-59	1	355
Bega	55-59	2	1066
Bega	55-59	3	707
Bega	55-59	4	289
Bega	55-59	5	77
Bega	55-59	6	46
Bega	60-64		266
Bega	60-64	0	450
Bega	60-64	1	354
Bega	60-64	2	1210
Bega	60-64	3	756
Bega	60-64	4	291
Bega	60-64	5	79
Bega	60-64	6	37
Bega	65-69		247
Bega	65-69	0	344
Bega	65-69	1	275
Bega	65-69	2	1189
Bega	65-69	3	717
Bega	65-69	4	330
Bega	65-69	5	78
Bega	65-69	6	47
Bega	70-74		223
Bega	70-74	0	246
Bega	70-74	1	189
Bega	70-74	2	829
Bega	70-74	3	598
Bega	70-74	4	278
Bega	70-74	5	79
Bega	70-74	6	56
Bega	75-79		216
Bega	75-79	0	126
Bega	75-79	1	97
Bega	75-79	2	444
Bega	75-79	3	480
Bega	75-79	4	254
Bega	75-79	5	103
Bega	75-79	6	57
Bega	80-84		155
Bega	80-84	0	99
Bega	80-84	1	74
Bega	80-84	2	260
Bega	80-84	3	286
Bega	80-84	4	200
Bega	80-84	5	96
Bega	80-84	6	63
Bega	85+		297
Bega	85+	0	93
Bega	85+	1	113
Bega	85+	2	297
Bega	85+	3	294
Bega	85+	4	207
Bega	85+	5	90
Bega	85+	6	73
Blacktown	15-19		322
Blacktown	15-19	0	2295
Blacktown	15-19	1	34
Blacktown	15-19	2	8
Blacktown	20-24		263
Blacktown	20-24	0	2267
Blacktown	20-24	1	254
Blacktown	20-24	2	85
Blacktown	20-24	3	26
Blacktown	20-24	4	3
Blacktown	25-29		270
Blacktown	25-29	0	2070
Blacktown	25-29	1	786
Blacktown	25-29	2	347
Blacktown	25-29	3	118
Blacktown	25-29	4	40
Blacktown	25-29	5	9
Blacktown	25-29	6	3
Blacktown	30-34		245
Blacktown	30-34	0	1123
Blacktown	30-34	1	1153
Blacktown	30-34	2	1025
Blacktown	30-34	3	319
Blacktown	30-34	4	114
Blacktown	30-34	5	40
Blacktown	30-34	6	20
Blacktown	35-39		184
Blacktown	35-39	0	527
Blacktown	35-39	1	685
Blacktown	35-39	2	1183
Blacktown	35-39	3	483
Blacktown	35-39	4	172
