LGA_NAME16	Age	Sex	persons
Carrathool (A)	55-64	M	206
Carrathool (A)	65-74	F	91
Carrathool (A)	65-74	M	113
Carrathool (A)	75-84	F	62
Carrathool (A)	75-84	M	75
Carrathool (A)	85+	F	38
Carrathool (A)	85+	M	26
Central Coast (C) (NSW)	0-4	F	9299
Central Coast (C) (NSW)	0-4	M	9887
Central Coast (C) (NSW)	5-14	F	19967
Central Coast (C) (NSW)	5-14	M	21280
Central Coast (C) (NSW)	15-19	F	9808
Central Coast (C) (NSW)	15-19	M	10117
Central Coast (C) (NSW)	20-24	F	8908
Central Coast (C) (NSW)	20-24	M	9267
Central Coast (C) (NSW)	25-34	F	18037
Central Coast (C) (NSW)	25-34	M	17244
Central Coast (C) (NSW)	35-44	F	20343
Central Coast (C) (NSW)	35-44	M	19032
Central Coast (C) (NSW)	45-54	F	22575
Central Coast (C) (NSW)	45-54	M	21054
Central Coast (C) (NSW)	55-64	F	22308
Central Coast (C) (NSW)	55-64	M	20057
Central Coast (C) (NSW)	65-74	F	19339
Central Coast (C) (NSW)	65-74	M	17251
Central Coast (C) (NSW)	75-84	F	11976
Central Coast (C) (NSW)	75-84	M	9718
Central Coast (C) (NSW)	85+	F	6407
Central Coast (C) (NSW)	85+	M	3866
Central Darling (A)	0-4	F	58
Central Darling (A)	0-4	M	75
Central Darling (A)	5-14	F	119
Central Darling (A)	5-14	M	97
Central Darling (A)	15-19	F	61
Central Darling (A)	15-19	M	58
Central Darling (A)	20-24	F	57
Central Darling (A)	20-24	M	53
Central Darling (A)	25-34	F	127
Central Darling (A)	25-34	M	126
Central Darling (A)	35-44	F	88
Central Darling (A)	35-44	M	110
Central Darling (A)	45-54	F	112
Central Darling (A)	45-54	M	134
Central Darling (A)	55-64	F	121
Central Darling (A)	55-64	M	147
Central Darling (A)	65-74	F	72
Central Darling (A)	65-74	M	125
Central Darling (A)	75-84	F	34
Central Darling (A)	75-84	M	38
Central Darling (A)	85+	F	19
Central Darling (A)	85+	M	5
Cessnock (C)	0-4	F	1884
Cessnock (C)	0-4	M	1912
Cessnock (C)	5-14	F	3681
Cessnock (C)	5-14	M	3902
Cessnock (C)	15-19	F	1701
Cessnock (C)	15-19	M	1750
Cessnock (C)	20-24	F	1680
Cessnock (C)	20-24	M	1758
Cessnock (C)	25-34	F	3631
Cessnock (C)	25-34	M	3520
Cessnock (C)	35-44	F	3362
Cessnock (C)	35-44	M	3507
Cessnock (C)	45-54	F	3493
Cessnock (C)	45-54	M	3490
Cessnock (C)	55-64	F	3634
Cessnock (C)	55-64	M	3542
Cessnock (C)	65-74	F	2770
Cessnock (C)	65-74	M	2748
Cessnock (C)	75-84	F	1379
Cessnock (C)	75-84	M	1160
Cessnock (C)	85+	F	706
Cessnock (C)	85+	M	343
Clarence Valley (A)	0-4	F	1160
Clarence Valley (A)	0-4	M	1310
Clarence Valley (A)	5-14	F	2772
Clarence Valley (A)	5-14	M	3068
Clarence Valley (A)	15-19	F	1424
Clarence Valley (A)	15-19	M	1538
Clarence Valley (A)	20-24	F	966
Clarence Valley (A)	20-24	M	1081
Clarence Valley (A)	25-34	F	2094
Clarence Valley (A)	25-34	M	2053
Clarence Valley (A)	35-44	F	2676
Clarence Valley (A)	35-44	M	2470
Clarence Valley (A)	45-54	F	3473
Clarence Valley (A)	45-54	M	3234
Clarence Valley (A)	55-64	F	4247
Clarence Valley (A)	55-64	M	4101
Clarence Valley (A)	65-74	F	3648
Clarence Valley (A)	65-74	M	3748
Clarence Valley (A)	75-84	F	2061
Clarence Valley (A)	75-84	M	1923
Clarence Valley (A)	85+	F	1014
Clarence Valley (A)	85+	M	609
Cobar (A)	0-4	F	187
Cobar (A)	0-4	M	184
Cobar (A)	5-14	F	315
Cobar (A)	5-14	M	344
Cobar (A)	15-19	F	117
Cobar (A)	15-19	M	132
Cobar (A)	20-24	F	127
Cobar (A)	20-24	M	126
Cobar (A)	25-34	F	363
Cobar (A)	25-34	M	349
Cobar (A)	35-44	F	271
Cobar (A)	35-44	M	318
Cobar (A)	45-54	F	275
Cobar (A)	45-54	M	307
Cobar (A)	55-64	F	258
Cobar (A)	55-64	M	342
Cobar (A)	65-74	F	167
Cobar (A)	65-74	M	183
Cobar (A)	75-84	F	128
Cobar (A)	75-84	M	80
Cobar (A)	85+	F	47
Cobar (A)	85+	M	27
Coffs Harbour (C)	0-4	F	1998
Coffs Harbour (C)	0-4	M	2058
Coffs Harbour (C)	5-14	F	4584
Coffs Harbour (C)	5-14	M	4709
Coffs Harbour (C)	15-19	F	2109
Coffs Harbour (C)	15-19	M	2224
Coffs Harbour (C)	20-24	F	1806
Coffs Harbour (C)	20-24	M	1888
Coffs Harbour (C)	25-34	F	3953
Coffs Harbour (C)	25-34	M	3701
Coffs Harbour (C)	35-44	F	4326
Coffs Harbour (C)	35-44	M	3895
Coffs Harbour (C)	45-54	F	5167
Coffs Harbour (C)	45-54	M	4461
Coffs Harbour (C)	55-64	F	5473
Coffs Harbour (C)	55-64	M	5220
Coffs Harbour (C)	65-74	F	4328
Coffs Harbour (C)	65-74	M	4187
Coffs Harbour (C)	75-84	F	2601
Coffs Harbour (C)	75-84	M	2188
Coffs Harbour (C)	85+	F	1284
Coffs Harbour (C)	85+	M	786
Coolamon (A)	0-4	F	115
Coolamon (A)	0-4	M	128
Coolamon (A)	5-14	F	290
Coolamon (A)	5-14	M	353
Coolamon (A)	15-19	F	123
Coolamon (A)	15-19	M	134
Coolamon (A)	20-24	F	111
Coolamon (A)	20-24	M	93
Coolamon (A)	25-34	F	182
Coolamon (A)	25-34	M	173
Coolamon (A)	35-44	F	230
Coolamon (A)	35-44	M	231
Coolamon (A)	45-54	F	306
Coolamon (A)	45-54	M	284
Coolamon (A)	55-64	F	265
Coolamon (A)	55-64	M	289
Coolamon (A)	65-74	F	276
Coolamon (A)	65-74	M	272
Coolamon (A)	75-84	F	187
Coolamon (A)	75-84	M	163
Coolamon (A)	85+	F	76
Coolamon (A)	85+	M	47
Coonamble (A)	0-4	F	132
Coonamble (A)	0-4	M	137
Coonamble (A)	5-14	F	270
Coonamble (A)	5-14	M	256
Coonamble (A)	15-19	F	95
Coonamble (A)	15-19	M	109
Coonamble (A)	20-24	F	120
Coonamble (A)	20-24	M	91
Coonamble (A)	25-34	F	224
Coonamble (A)	25-34	M	217
Coonamble (A)	35-44	F	212
Coonamble (A)	35-44	M	169
Coonamble (A)	45-54	F	272
Coonamble (A)	45-54	M	296
Coonamble (A)	55-64	F	261
Coonamble (A)	55-64	M	281
Coonamble (A)	65-74	F	202
Coonamble (A)	65-74	M	237
Coonamble (A)	75-84	F	126
Coonamble (A)	75-84	M	116
Coonamble (A)	85+	F	70
Coonamble (A)	85+	M	35
Cowra (A)	0-4	F	324
Cowra (A)	0-4	M	330
Cowra (A)	5-14	F	757
Cowra (A)	5-14	M	749
Cowra (A)	15-19	F	359
Cowra (A)	15-19	M	378
Cowra (A)	20-24	F	325
Cowra (A)	20-24	M	335
Cowra (A)	25-34	F	535
Cowra (A)	25-34	M	531
Cowra (A)	35-44	F	653
Cowra (A)	35-44	M	610
Cowra (A)	45-54	F	852
Cowra (A)	45-54	M	805
Cowra (A)	55-64	F	899
Cowra (A)	55-64	M	907
Cowra (A)	65-74	F	824
Cowra (A)	65-74	M	855
Cowra (A)	75-84	F	505
Cowra (A)	75-84	M	486
Cowra (A)	85+	F	273
Cowra (A)	85+	M	163
Cumberland (A)	0-4	F	8251
Cumberland (A)	0-4	M	8630
Cumberland (A)	5-14	F	13413
Cumberland (A)	5-14	M	14074
Cumberland (A)	15-19	F	6016
Cumberland (A)	15-19	M	6509
Cumberland (A)	20-24	F	7718
Cumberland (A)	20-24	M	9435
Cumberland (A)	25-34	F	19723
Cumberland (A)	25-34	M	22430
Cumberland (A)	35-44	F	14218
Cumberland (A)	35-44	M	16237
Cumberland (A)	45-54	F	12349
Cumberland (A)	45-54	M	12363
Cumberland (A)	55-64	F	10401
Cumberland (A)	55-64	M	10178
Cumberland (A)	65-74	F	6734
Cumberland (A)	65-74	M	6668
Cumberland (A)	75-84	F	4054
Cumberland (A)	75-84	M	3377
Cumberland (A)	85+	F	2111
Cumberland (A)	85+	M	1169
Dungog (A)	0-4	F	232
Dungog (A)	0-4	M	247
Dungog (A)	5-14	F	558
Dungog (A)	5-14	M	625
