LGA_NAME16	FamilyComposition	families_with_children
Temora (A)	Intact family with other children present	5
Temora (A)	Other couple family with other children only	6
Temora (A)	Step family with no other children present	43
Tenterfield (A)	Blended family with no other children present	31
Tenterfield (A)	Blended family with other children present	3
Tenterfield (A)	Intact family with no other children present	412
Tenterfield (A)	Intact family with other children present	4
Tenterfield (A)	Other couple family with other children only	8
Tenterfield (A)	Step family with no other children present	25
Tenterfield (A)	Step family with other children present	3
The Hills Shire (A)	Blended family with no other children present	614
The Hills Shire (A)	Blended family with other children present	15
The Hills Shire (A)	Intact family with no other children present	24311
The Hills Shire (A)	Intact family with other children present	289
The Hills Shire (A)	Other couple family with other children only	34
The Hills Shire (A)	Step family with no other children present	1115
The Hills Shire (A)	Step family with other children present	29
Tweed (A)	Blended family with no other children present	402
Tweed (A)	Blended family with other children present	4
Tweed (A)	Intact family with no other children present	7514
Tweed (A)	Intact family with other children present	83
Tweed (A)	Other couple family with other children only	71
Tweed (A)	Step family with no other children present	661
Tweed (A)	Step family with other children present	11
Upper Hunter Shire (A)	Blended family with no other children present	67
Upper Hunter Shire (A)	Intact family with no other children present	1292
Upper Hunter Shire (A)	Intact family with other children present	21
Upper Hunter Shire (A)	Other couple family with other children only	10
Upper Hunter Shire (A)	Step family with no other children present	96
Upper Lachlan Shire (A)	Blended family with no other children present	36
Upper Lachlan Shire (A)	Intact family with no other children present	698
Upper Lachlan Shire (A)	Intact family with other children present	8
Upper Lachlan Shire (A)	Other couple family with other children only	8
Upper Lachlan Shire (A)	Step family with no other children present	45
Uralla (A)	Blended family with no other children present	32
Uralla (A)	Intact family with no other children present	549
Uralla (A)	Intact family with other children present	4
Uralla (A)	Other couple family with other children only	10
Uralla (A)	Step family with no other children present	36
Wagga Wagga (C)	Blended family with no other children present	329
Wagga Wagga (C)	Blended family with other children present	8
Wagga Wagga (C)	Intact family with no other children present	5796
Wagga Wagga (C)	Intact family with other children present	53
Wagga Wagga (C)	Other couple family with other children only	37
Wagga Wagga (C)	Step family with no other children present	410
Wagga Wagga (C)	Step family with other children present	11
Walcha (A)	Blended family with no other children present	9
Walcha (A)	Intact family with no other children present	282
Walcha (A)	Intact family with other children present	3
Walcha (A)	Step family with no other children present	13
Walgett (A)	Blended family with no other children present	11
Walgett (A)	Intact family with no other children present	350
Walgett (A)	Intact family with other children present	13
Walgett (A)	Other couple family with other children only	17
Walgett (A)	Step family with no other children present	23
Walgett (A)	Step family with other children present	8
Warren (A)	Blended family with no other children present	13
Warren (A)	Intact family with no other children present	221
Warren (A)	Intact family with other children present	3
Warren (A)	Step family with no other children present	12
Warrumbungle Shire (A)	Blended family with no other children present	36
Warrumbungle Shire (A)	Intact family with no other children present	681
Warrumbungle Shire (A)	Intact family with other children present	10
Warrumbungle Shire (A)	Other couple family with other children only	9
Warrumbungle Shire (A)	Step family with no other children present	41
