SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Warringah	0	3	290
Warringah	0	4	76
Warringah	0	5	34
Warringah	0	6	11
Warringah	1	2	14231
Warringah	1	3	8183
Warringah	1	4	10474
Warringah	1	5	4235
Warringah	1	6	1684
Camden	0	1	2715
Camden	0	2	234
Camden	0	3	41
Camden	0	4	10
Camden	0	5	4
Camden	0	6	4
Camden	1	2	5112
Camden	1	3	3644
Camden	1	4	4594
Camden	1	5	2124
Camden	1	6	1018
Campbelltown (NSW)	0	1	9234
Campbelltown (NSW)	0	2	940
Campbelltown (NSW)	0	3	141
Campbelltown (NSW)	0	4	51
Campbelltown (NSW)	0	5	24
Campbelltown (NSW)	0	6	12
Campbelltown (NSW)	1	2	13321
Campbelltown (NSW)	1	3	9339
Campbelltown (NSW)	1	4	9380
Campbelltown (NSW)	1	5	4515
Campbelltown (NSW)	1	6	3360
Wollondilly	0	1	2037
Wollondilly	0	2	170
Wollondilly	0	3	27
Wollondilly	0	4	4
Wollondilly	1	2	3873
Wollondilly	1	3	2113
Wollondilly	1	4	2493
Wollondilly	1	5	1373
Wollondilly	1	6	811
Blue Mountains	0	1	7353
Blue Mountains	0	2	734
Blue Mountains	0	3	80
Blue Mountains	0	4	22
Blue Mountains	0	5	14
Blue Mountains	0	6	8
Blue Mountains	1	2	9283
Blue Mountains	1	3	4228
Blue Mountains	1	4	4204
Blue Mountains	1	5	1863
Blue Mountains	1	6	780
Blue Mountains - South	0	1	3
Penrith	0	1	9064
Penrith	0	2	957
Penrith	0	3	150
Penrith	0	4	45
Penrith	0	5	15
Penrith	0	6	6
Penrith	1	2	12918
Penrith	1	3	8244
Penrith	1	4	8626
Penrith	1	5	3993
Penrith	1	6	2280
Richmond - Windsor	0	1	2927
Richmond - Windsor	0	2	288
Richmond - Windsor	0	3	49
Richmond - Windsor	0	4	16
Richmond - Windsor	1	2	3300
Richmond - Windsor	1	3	2041
Richmond - Windsor	1	4	1878
Richmond - Windsor	1	5	966
Richmond - Windsor	1	6	594
St Marys	0	1	3196
St Marys	0	2	402
St Marys	0	3	57
St Marys	0	4	11
St Marys	0	5	4
St Marys	0	6	4
St Marys	1	2	4573
St Marys	1	3	3175
St Marys	1	4	3193
St Marys	1	5	1567
St Marys	1	6	1072
Auburn	0	1	4450
Auburn	0	2	837
Auburn	0	3	401
