SA3_NAME16	FamilyComposition	families_with_children
Geelong	Step family with other children present	25
Surf Coast - Bellarine Peninsula	Blended family with no other children present	263
Surf Coast - Bellarine Peninsula	Intact family with no other children present	7420
Surf Coast - Bellarine Peninsula	Intact family with other children present	35
Surf Coast - Bellarine Peninsula	Other couple family with other children only	29
Surf Coast - Bellarine Peninsula	Step family with no other children present	509
Surf Coast - Bellarine Peninsula	Step family with other children present	8
Upper Goulburn Valley	Blended family with no other children present	229
Upper Goulburn Valley	Intact family with no other children present	4440
Upper Goulburn Valley	Intact family with other children present	38
Upper Goulburn Valley	Other couple family with other children only	31
Upper Goulburn Valley	Step family with no other children present	417
Upper Goulburn Valley	Step family with other children present	12
Wangaratta - Benalla	Blended family with no other children present	208
Wangaratta - Benalla	Intact family with no other children present	3833
