SA4_NAME16	CountryOfBirth	Sex	persons
Mid North Coast	IRQ	M	16
Mid North Coast	ITA	F	91
Mid North Coast	ITA	M	192
Mid North Coast	JPN	F	62
Mid North Coast	JPN	M	19
Mid North Coast	KHM	F	16
Mid North Coast	KHM	M	7
Mid North Coast	KOR	F	56
Mid North Coast	KOR	M	44
Mid North Coast	LBN	F	21
Mid North Coast	LBN	M	31
Mid North Coast	LKA	F	40
Mid North Coast	LKA	M	42
Mid North Coast	MKD	F	9
Mid North Coast	MKD	M	9
Mid North Coast	MLT	F	92
Mid North Coast	MLT	M	107
Mid North Coast	MMR	F	11
Mid North Coast	MMR	M	13
Mid North Coast	MUS	F	18
Mid North Coast	MUS	M	20
Mid North Coast	MYS	F	87
Mid North Coast	MYS	M	57
Mid North Coast	NLD	F	366
Mid North Coast	NLD	M	385
Mid North Coast	NPL	F	24
Mid North Coast	NPL	M	22
Mid North Coast	NZL	F	1254
Mid North Coast	NZL	M	1183
Mid North Coast	PAK	F	12
Mid North Coast	PAK	M	22
Mid North Coast	PHL	F	576
Mid North Coast	PHL	M	133
Mid North Coast	PNG	F	80
Mid North Coast	PNG	M	60
Mid North Coast	POL	F	69
Mid North Coast	POL	M	47
Mid North Coast	SGP	F	41
Mid North Coast	SGP	M	18
Mid North Coast	THA	F	170
Mid North Coast	THA	M	42
Mid North Coast	TUR	F	11
Mid North Coast	TUR	M	14
Mid North Coast	TWN	F	26
Mid North Coast	TWN	M	18
Mid North Coast	USA	F	252
Mid North Coast	USA	M	252
Mid North Coast	VNM	F	62
Mid North Coast	VNM	M	34
Mid North Coast	ZAF	F	277
Mid North Coast	ZAF	M	251
Mid North Coast	ZWE	F	60
Mid North Coast	ZWE	M	55
Murray		F	6006
Murray		M	5879
Murray	AFG	F	3
Murray	AFG	M	8
Murray	AUS	F	48296
Murray	AUS	M	47011
Murray	BGD	F	42
Murray	BGD	M	48
Murray	BIH	F	6
Murray	BIH	M	3
Murray	CAN	F	34
Murray	CAN	M	50
Murray	CHL	F	6
Murray	CHL	M	4
Murray	CHN	F	98
Murray	CHN	M	74
Murray	DEU	F	245
Murray	DEU	M	210
Murray	EGY	F	13
Murray	EGY	M	19
Murray	FJI	F	52
Murray	FJI	M	56
Murray	FRA	F	18
Murray	FRA	M	12
Murray	GBR	F	1356
