SA2_NAME16	FamilyComposition	families_with_children
Tea Gardens - Hawks Nest	Blended family with no other children present	14
Tea Gardens - Hawks Nest	Intact family with no other children present	258
Tea Gardens - Hawks Nest	Intact family with other children present	3
Tea Gardens - Hawks Nest	Other couple family with other children only	3
Tea Gardens - Hawks Nest	Step family with no other children present	26
Williamtown - Medowie - Karuah	Blended family with no other children present	67
Williamtown - Medowie - Karuah	Intact family with no other children present	1493
Williamtown - Medowie - Karuah	Intact family with other children present	17
Williamtown - Medowie - Karuah	Other couple family with other children only	9
Williamtown - Medowie - Karuah	Step family with no other children present	107
Williamtown - Medowie - Karuah	Step family with other children present	5
Muswellbrook	Blended family with no other children present	79
Muswellbrook	Intact family with no other children present	1067
Muswellbrook	Intact family with other children present	13
Muswellbrook	Other couple family with other children only	18
Muswellbrook	Step family with no other children present	99
Muswellbrook Region	Blended family with no other children present	26
Muswellbrook Region	Intact family with no other children present	408
Muswellbrook Region	Intact family with other children present	3
Muswellbrook Region	Step family with no other children present	25
Scone	Blended family with no other children present	23
Scone	Intact family with no other children present	559
Scone	Intact family with other children present	10
Scone	Other couple family with other children only	3
Scone	Step family with no other children present	44
Scone Region	Blended family with no other children present	38
Scone Region	Intact family with no other children present	737
Scone Region	Intact family with other children present	12
Scone Region	Other couple family with other children only	7
Scone Region	Step family with no other children present	53
Scone Region	Step family with other children present	3
Dapto - Avondale	Blended family with no other children present	165
Dapto - Avondale	Intact family with no other children present	2267
Dapto - Avondale	Intact family with other children present	28
Dapto - Avondale	Other couple family with other children only	26
Dapto - Avondale	Step family with no other children present	259
Dapto - Avondale	Step family with other children present	5
Horsley - Kembla Grange	Blended family with no other children present	73
Horsley - Kembla Grange	Intact family with no other children present	1130
Horsley - Kembla Grange	Intact family with other children present	12
